"leverantor","period","tjanst","tjanstdelt_ny","tjanstdelt_pagaende","tjanstdelt_avslutat","total_ny","total_pagaende","andel_ny","andel_pagaende"
"2Work Sverige AB","2023-12","Rusta och Matcha",0,0,0,9187,56760,0,0
"2Work Sverige AB","2024-01","Rusta och Matcha",12,16,0,8900,59141,0.00134831460674157,0.000270539896180315
"2Work Sverige AB","2024-02","Rusta och Matcha",15,35,0,10063,63776,0.00149060916227765,0.000548795785248369
"2Work Sverige AB","2024-03","Rusta och Matcha",7,36,9,8455,64400,0.000827912477823773,0.000559006211180124
"2Work Sverige AB","2024-04","Rusta och Matcha",6,38,5,6871,62884,0.000873235336923301,0.000604287259080211
"2Work Sverige AB","2024-05","Rusta och Matcha",7,40,6,6017,57867,0.00116337045039056,0.000691240257832616
"2Work Sverige AB","2024-06","Rusta och Matcha",9,41,8,5742,53560,0.00156739811912226,0.000765496639283047
"2Work Sverige AB","2024-07","Rusta och Matcha",0,35,5,5390,52364,0,0.000668398136124055
"2Work Sverige AB","2024-08","Rusta och Matcha",0,31,5,2960,46070,0,0.000672889081831995
"2Work Sverige AB","2024-09","Rusta och Matcha",0,28,0,6345,43259,0,0.000647264153124205
"2Work Sverige AB","2024-10","Rusta och Matcha",6,29,0,7366,41513,0.000814553353244638,0.000698576349577241
"2Work Sverige AB","2024-11","Rusta och Matcha",6,28,7,5696,39416,0.00105337078651685,0.000710371422772478
"2Work Sverige AB","2024-12","Rusta och Matcha",0,26,6,5974,40168,0,0.000647281418044214
"A & S Service AB","2023-07","Rusta och Matcha",0,0,0,7862,51663,0,0
"A & S Service AB","2023-08","Rusta och Matcha",0,5,0,6562,44388,0,0.000112643056681986
"A & S Service AB","2023-09","Rusta och Matcha",5,7,0,11957,41936,0.000418165091578155,0.000166921022510492
"A & S Service AB","2023-10","Rusta och Matcha",9,17,0,14711,47275,0.000611787098089865,0.000359598096245373
"A & S Service AB","2023-11","Rusta och Matcha",20,49,0,11758,52797,0.00170096955264501,0.000928083035020929
"A & S Service AB","2023-12","Rusta och Matcha",15,61,0,9187,56760,0.00163274191792751,0.00107470049330514
"A & S Service AB","2024-01","Rusta och Matcha",8,67,0,8900,59141,0.000898876404494382,0.00113288581525507
"A & S Service AB","2024-02","Rusta och Matcha",14,78,6,10063,63776,0.00139123521812581,0.00122303060712494
"A & S Service AB","2024-03","Rusta och Matcha",8,85,6,8455,64400,0.000946185688941455,0.00131987577639752
"A & S Service AB","2024-04","Rusta och Matcha",14,95,6,6871,62884,0.0020375491194877,0.00151071814770053
"A & S Service AB","2024-05","Rusta och Matcha",9,94,10,6017,57867,0.00149576200764501,0.00162441460590665
"A & S Service AB","2024-06","Rusta och Matcha",7,84,15,5742,53560,0.00121908742598398,0.00156833457804332
"A & S Service AB","2024-07","Rusta och Matcha",6,81,14,5390,52364,0.00111317254174397,0.0015468642578871
"A & S Service AB","2024-08","Rusta och Matcha",6,82,6,2960,46070,0.00202702702702703,0.0017799001519427
"A & S Service AB","2024-09","Rusta och Matcha",7,76,12,6345,43259,0.00110323089046493,0.00175685984419427
"A & S Service AB","2024-10","Rusta och Matcha",5,26,54,7366,41513,0.000678794461037198,0.000626309830655457
"A & S Service AB","2024-11","Rusta och Matcha",5,26,5,5696,39416,0.000877808988764045,0.000659630606860158
"A & S Service AB","2024-12","Rusta och Matcha",0,25,0,5974,40168,0,0.000622385978888668
"A till Ö Jobb & Rekrytering AB","2021-02","Rusta och Matcha",6,7,0,1509,7345,0.00397614314115308,0.000953029271613342
"A till Ö Jobb & Rekrytering AB","2021-03","Rusta och Matcha",7,14,0,1509,8181,0.0046388336646786,0.00171128223933504
"A till Ö Jobb & Rekrytering AB","2021-04","Rusta och Matcha",0,17,0,1006,8530,0,0.00199296600234467
"A till Ö Jobb & Rekrytering AB","2021-05","Rusta och Matcha",0,19,0,943,8361,0,0.00227245544791293
"A till Ö Jobb & Rekrytering AB","2021-06","Rusta och Matcha",79,94,0,2969,9747,0.0266082856180532,0.00964399302349441
"A till Ö Jobb & Rekrytering AB","2021-07","Rusta och Matcha",100,190,0,3811,12383,0.0262398320650748,0.015343616248082
"A till Ö Jobb & Rekrytering AB","2021-08","Rusta och Matcha",63,230,21,2428,13114,0.0259472817133443,0.0175385084642367
"A till Ö Jobb & Rekrytering AB","2021-09","Rusta och Matcha",47,256,19,2639,14018,0.0178097764304661,0.018262234270224
"A till Ö Jobb & Rekrytering AB","2021-10","Rusta och Matcha",48,285,18,4365,16624,0.0109965635738832,0.0171438883541867
"A till Ö Jobb & Rekrytering AB","2021-11","Rusta och Matcha",118,387,16,10345,25024,0.011406476558724,0.0154651534526854
"A till Ö Jobb & Rekrytering AB","2021-12","Rusta och Matcha",136,508,17,13013,35668,0.0104510873741643,0.0142424582258607
"A till Ö Jobb & Rekrytering AB","2022-01","Rusta och Matcha",90,558,39,10877,43054,0.00827434035119978,0.0129604682491755
"A till Ö Jobb & Rekrytering AB","2022-02","Rusta och Matcha",153,658,45,16179,55202,0.00945670313369182,0.0119198579761603
"A till Ö Jobb & Rekrytering AB","2022-03","Rusta och Matcha",152,749,50,15411,65117,0.00986308480955162,0.0115023726523028
"A till Ö Jobb & Rekrytering AB","2022-04","Rusta och Matcha",105,767,82,11321,68619,0.00927479904602067,0.0111776621635407
"A till Ö Jobb & Rekrytering AB","2022-05","Rusta och Matcha",110,785,82,10669,70318,0.0103102446339863,0.0111635712050968
"A till Ö Jobb & Rekrytering AB","2022-06","Rusta och Matcha",76,747,107,7847,68443,0.00968523002421308,0.0109141913709218
"A till Ö Jobb & Rekrytering AB","2022-07","Rusta och Matcha",86,725,105,7911,69212,0.0108709391985842,0.0104750621279547
"A till Ö Jobb & Rekrytering AB","2022-08","Rusta och Matcha",44,674,83,4820,65940,0.00912863070539419,0.0102214134061268
"A till Ö Jobb & Rekrytering AB","2022-09","Rusta och Matcha",79,670,82,8197,66124,0.00963767231914115,0.0101324783739641
"A till Ö Jobb & Rekrytering AB","2022-10","Rusta och Matcha",67,641,92,11356,69163,0.00589996477632969,0.00926796119312349
"A till Ö Jobb & Rekrytering AB","2022-11","Rusta och Matcha",69,614,92,10934,70709,0.00631059081763307,0.00868347735083228
"A till Ö Jobb & Rekrytering AB","2022-12","Rusta och Matcha",79,621,71,10114,70789,0.00781095511172632,0.0087725494073938
"A till Ö Jobb & Rekrytering AB","2023-01","Rusta och Matcha",54,602,76,7787,67057,0.00693463464748941,0.00897743710574586
"A till Ö Jobb & Rekrytering AB","2023-02","Rusta och Matcha",92,590,97,11172,67672,0.00823487289652703,0.00871852464830358
"A till Ö Jobb & Rekrytering AB","2023-03","Rusta och Matcha",142,643,89,12440,69280,0.0114147909967846,0.00928117782909931
"A till Ö Jobb & Rekrytering AB","2023-04","Rusta och Matcha",80,600,122,8486,63195,0.00942729201037002,0.0094944220270591
"A till Ö Jobb & Rekrytering AB","2023-05","Rusta och Matcha",114,584,126,12038,60152,0.00947001162983884,0.00970873786407767
"A till Ö Jobb & Rekrytering AB","2023-06","Rusta och Matcha",102,556,130,9226,55094,0.0110557121179276,0.0100918430319091
"A till Ö Jobb & Rekrytering AB","2023-07","Rusta och Matcha",91,535,109,7862,51663,0.0115746629356398,0.0103555736213538
"A till Ö Jobb & Rekrytering AB","2023-08","Rusta och Matcha",76,482,128,6562,44388,0.0115818348064614,0.0108587906641435
"A till Ö Jobb & Rekrytering AB","2023-09","Rusta och Matcha",125,459,151,11957,41936,0.0104541272894539,0.0109452499046166
"A till Ö Jobb & Rekrytering AB","2023-10","Rusta och Matcha",164,519,97,14711,47275,0.011148120454082,0.0109783183500793
"A till Ö Jobb & Rekrytering AB","2023-11","Rusta och Matcha",84,522,71,11758,52797,0.00714407212110903,0.00988692539348827
"A till Ö Jobb & Rekrytering AB","2023-12","Rusta och Matcha",82,559,51,9187,56760,0.0089256558180037,0.00984848484848485
"A till Ö Jobb & Rekrytering AB","2024-01","Rusta och Matcha",89,587,59,8900,59141,0.01,0.0099254324411153
"A till Ö Jobb & Rekrytering AB","2024-02","Rusta och Matcha",75,603,51,10063,63776,0.00745304581138825,0.00945496738585048
"A till Ö Jobb & Rekrytering AB","2024-03","Rusta och Matcha",75,616,63,8455,64400,0.00887049083382614,0.00956521739130435
"A till Ö Jobb & Rekrytering AB","2024-04","Rusta och Matcha",62,601,72,6871,62884,0.00902343181487411,0.00955728007124229
"A till Ö Jobb & Rekrytering AB","2024-05","Rusta och Matcha",49,557,92,6017,57867,0.00814359315273392,0.00962552059031918
"A till Ö Jobb & Rekrytering AB","2024-06","Rusta och Matcha",40,496,99,5742,53560,0.00696621386276559,0.00926064227035101
"A till Ö Jobb & Rekrytering AB","2024-07","Rusta och Matcha",54,478,83,5390,52364,0.0100185528756957,0.00912840883049423
"A till Ö Jobb & Rekrytering AB","2024-08","Rusta och Matcha",34,436,75,2960,46070,0.0114864864864865,0.0094638593444758
"A till Ö Jobb & Rekrytering AB","2024-09","Rusta och Matcha",11,105,30,6345,43259,0.00173364854215918,0.00242724057421577
"A till Ö Jobb & Rekrytering AB","2024-10","Rusta och Matcha",0,79,25,7366,41513,0,0.00190301833160697
"A till Ö Jobb & Rekrytering AB","2024-11","Rusta och Matcha",0,63,16,5696,39416,0,0.00159833570123808
"A till Ö Jobb & Rekrytering AB","2024-12","Rusta och Matcha",0,0,13,5974,40168,0,0
"A-Karriär Sweden AB","2021-11","Rusta och Matcha",150,309,19,10345,25024,0.014499758337361,0.0123481457800512
"A-Karriär Sweden AB","2021-12","Rusta och Matcha",164,416,31,13013,35668,0.0126027818335511,0.0116631153975552
"A-Karriär Sweden AB","2022-01","Rusta och Matcha",140,499,53,10877,43054,0.0128711961018663,0.0115900961583128
"A-Karriär Sweden AB","2022-02","Rusta och Matcha",142,592,40,16179,55202,0.00877680944434143,0.0107242491214086
"A-Karriär Sweden AB","2022-03","Rusta och Matcha",138,655,67,15411,65117,0.00895464278761923,0.0100588172059524
"A-Karriär Sweden AB","2022-04","Rusta och Matcha",105,665,90,11321,68619,0.00927479904602067,0.00969119340124455
"A-Karriär Sweden AB","2022-05","Rusta och Matcha",85,645,99,10669,70318,0.00796700721717124,0.00917261583093945
"A-Karriär Sweden AB","2022-06","Rusta och Matcha",78,633,89,7847,68443,0.00994010449853447,0.00924857180427509
"A-Karriär Sweden AB","2022-07","Rusta och Matcha",72,631,71,7911,69212,0.00910125142207053,0.00911691614170953
"A-Karriär Sweden AB","2022-08","Rusta och Matcha",33,591,76,4820,65940,0.00684647302904564,0.00896269335759782
"A-Karriär Sweden AB","2022-09","Rusta och Matcha",58,580,64,8197,66124,0.00707575942417958,0.00877139918940173
"A-Karriär Sweden AB","2022-10","Rusta och Matcha",89,611,63,11356,69163,0.00783726664318422,0.00883420325896794
"A-Karriär Sweden AB","2022-11","Rusta och Matcha",79,589,97,10934,70709,0.00722516919700018,0.0083299155694466
"A-Karriär Sweden AB","2022-12","Rusta och Matcha",91,584,94,10114,70789,0.0089974293059126,0.00824986932998065
"A-Karriär Sweden AB","2023-01","Rusta och Matcha",116,590,108,7787,67057,0.0148966225760884,0.00879848487107983
"A-Karriär Sweden AB","2023-02","Rusta och Matcha",143,635,90,11172,67672,0.0127998567848192,0.00938349686724199
"A-Karriär Sweden AB","2023-03","Rusta och Matcha",96,631,94,12440,69280,0.00771704180064309,0.00910796766743649
"A-Karriär Sweden AB","2023-04","Rusta och Matcha",83,594,118,8486,63195,0.0097808154607589,0.00939947780678851
"A-Karriär Sweden AB","2023-05","Rusta och Matcha",110,588,117,12038,60152,0.00913773052001994,0.00977523606862615
"A-Karriär Sweden AB","2023-06","Rusta och Matcha",74,544,120,9226,55094,0.00802081075222198,0.00987403347006934
"A-Karriär Sweden AB","2023-07","Rusta och Matcha",80,487,134,7862,51663,0.0101755278555075,0.00942647542728839
"A-Karriär Sweden AB","2023-08","Rusta och Matcha",77,424,141,6562,44388,0.0117342273697044,0.00955213120663242
"A-Karriär Sweden AB","2023-09","Rusta och Matcha",96,395,131,11957,41936,0.00802876975830058,0.00941911484166349
"A-Karriär Sweden AB","2023-10","Rusta och Matcha",139,445,87,14711,47275,0.0094487118482768,0.00941300898995241
"A-Karriär Sweden AB","2023-11","Rusta och Matcha",90,459,63,11758,52797,0.00765436298690253,0.00869367577703279
"A-Karriär Sweden AB","2023-12","Rusta och Matcha",72,477,53,9187,56760,0.00783716120605203,0.00840380549682875
"A-Karriär Sweden AB","2024-01","Rusta och Matcha",78,496,57,8900,59141,0.00876404494382023,0.00838673678158976
"A-Karriär Sweden AB","2024-02","Rusta och Matcha",81,526,47,10063,63776,0.00804928947629931,0.00824761665830407
"A-Karriär Sweden AB","2024-03","Rusta och Matcha",78,535,75,8455,64400,0.00922531046717918,0.00830745341614907
"A-Karriär Sweden AB","2024-04","Rusta och Matcha",48,492,83,6871,62884,0.00698588269538641,0.00782392977545958
"A-Karriär Sweden AB","2024-05","Rusta och Matcha",51,406,130,6017,57867,0.00847598470998837,0.00701608861700105
"A-Karriär Sweden AB","2024-06","Rusta och Matcha",44,355,91,5742,53560,0.00766283524904215,0.00662808065720687
"A-Karriär Sweden AB","2024-07","Rusta och Matcha",42,347,54,5390,52364,0.00779220779220779,0.00662669009242991
"A-Karriär Sweden AB","2024-08","Rusta och Matcha",25,292,80,2960,46070,0.00844594594594595,0.00633818102886911
"A-Karriär Sweden AB","2024-09","Rusta och Matcha",45,271,70,6345,43259,0.00709219858156028,0.00626459233916642
"A-Karriär Sweden AB","2024-10","Rusta och Matcha",60,265,66,7366,41513,0.00814553353244638,0.00638354250475755
"A-Karriär Sweden AB","2024-11","Rusta och Matcha",37,266,43,5696,39416,0.00649578651685393,0.00674852851633854
"A-Karriär Sweden AB","2024-12","Rusta och Matcha",45,289,25,5974,40168,0.00753264144626716,0.007194781915953
"AAA Ability Matchning AB","2023-09","Rusta och Matcha",0,0,0,11957,41936,0,0
"AAA Ability Matchning AB","2023-10","Rusta och Matcha",0,0,0,14711,47275,0,0
"AAA Ability Matchning AB","2023-11","Rusta och Matcha",0,6,0,11758,52797,0,0.000113642820614808
"AAA Ability Matchning AB","2023-12","Rusta och Matcha",0,0,0,9187,56760,0,0
"AAA Ability Matchning AB","2024-01","Rusta och Matcha",0,5,0,8900,59141,0,8.45437175563484e-05
"AAA Ability Matchning AB","2024-02","Rusta och Matcha",0,6,0,10063,63776,0,9.4079277471149e-05
"AAA Ability Matchning AB","2024-03","Rusta och Matcha",0,7,0,8455,64400,0,0.000108695652173913
"AAA Ability Matchning AB","2024-04","Rusta och Matcha",0,6,0,6871,62884,0,9.5413777749507e-05
"AAA Ability Matchning AB","2024-05","Rusta och Matcha",0,5,0,6017,57867,0,8.6405032229077e-05
"AAA Ability Matchning AB","2024-06","Rusta och Matcha",0,0,0,5742,53560,0,0
"AAA Ability Matchning AB","2024-10","Rusta och Matcha",0,0,0,7366,41513,0,0
"AAA Ability Matchning AB","2024-11","Rusta och Matcha",0,0,0,5696,39416,0,0
"AAA Ability Matchning AB","2024-12","Rusta och Matcha",0,0,0,5974,40168,0,0
"AAA Livek Sjuhärad AB","2023-09","Rusta och Matcha",64,216,53,11957,41936,0.00535251317220038,0.00515070583746662
"AAA Livek Sjuhärad AB","2023-10","Rusta och Matcha",72,245,35,14711,47275,0.00489429678471892,0.00518244315177155
"AAA Livek Sjuhärad AB","2023-11","Rusta och Matcha",76,301,23,11758,52797,0.00646368430005103,0.00570108150084285
"AAA Livek Sjuhärad AB","2023-12","Rusta och Matcha",32,308,24,9187,56760,0.00348318275824535,0.00542635658914729
"AAA Livek Sjuhärad AB","2024-01","Rusta och Matcha",20,314,13,8900,59141,0.00224719101123596,0.00530934546253868
"AAA Livek Sjuhärad AB","2024-02","Rusta och Matcha",49,338,29,10063,63776,0.00486932326344033,0.0052997992975414
"AAA Livek Sjuhärad AB","2024-03","Rusta och Matcha",27,356,21,8455,64400,0.00319337670017741,0.00552795031055901
"AAA Livek Sjuhärad AB","2024-04","Rusta och Matcha",22,348,35,6871,62884,0.0032018629020521,0.00553399910947141
"AAA Livek Sjuhärad AB","2024-05","Rusta och Matcha",18,325,42,6017,57867,0.00299152401529001,0.00561632709489001
"AAA Livek Sjuhärad AB","2024-06","Rusta och Matcha",27,303,46,5742,53560,0.00470219435736677,0.0056572068707991
"AAA Livek Sjuhärad AB","2024-07","Rusta och Matcha",15,337,26,5390,52364,0.00278293135435993,0.00643571919639447
"AAA Livek Sjuhärad AB","2024-08","Rusta och Matcha",11,294,42,2960,46070,0.00371621621621622,0.00638159322769698
"AAA Livek Sjuhärad AB","2024-09","Rusta och Matcha",19,232,78,6345,43259,0.00299448384554768,0.00536304584017199
"AAA Livek Sjuhärad AB","2024-10","Rusta och Matcha",41,219,52,7366,41513,0.00556611458050502,0.0052754558812902
"AAA Livek Sjuhärad AB","2024-11","Rusta och Matcha",13,190,43,5696,39416,0.00228230337078652,0.00482037751167039
"AAA Livek Sjuhärad AB","2024-12","Rusta och Matcha",31,196,23,5974,40168,0.00518915299631738,0.00487950607448715
"AB Ability Coaching","2020-05","Rusta och Matcha",7,7,0,436,464,0.0160550458715596,0.0150862068965517
"AB Ability Coaching","2020-06","Rusta och Matcha",11,17,0,784,1208,0.014030612244898,0.0140728476821192
"AB Ability Coaching","2020-07","Rusta och Matcha",8,23,0,918,2068,0.00871459694989107,0.0111218568665377
"AB Ability Coaching","2020-08","Rusta och Matcha",7,28,0,386,2330,0.0181347150259067,0.0120171673819742
"AB Ability Coaching","2020-09","Rusta och Matcha",7,33,0,775,2913,0.00903225806451613,0.0113285272914521
"AB Ability Coaching","2020-10","Rusta och Matcha",0,34,0,1050,3769,0,0.00902096046696737
"AB Ability Coaching","2020-11","Rusta och Matcha",5,35,0,895,4403,0.00558659217877095,0.00794912559618442
"AB Ability Coaching","2020-12","Rusta och Matcha",7,40,0,1389,5520,0.00503959683225342,0.0072463768115942
"AB Ability Coaching","2021-01","Rusta och Matcha",0,44,0,1239,6288,0,0.00699745547073791
"AB Ability Coaching","2021-02","Rusta och Matcha",14,51,7,1509,7345,0.00927766732935719,0.00694349897889721
"AB Ability Coaching","2021-03","Rusta och Matcha",17,68,0,1509,8181,0.0112657388999337,0.00831194230534165
"AB Ability Coaching","2021-04","Rusta och Matcha",6,72,0,1006,8530,0.00596421471172962,0.00844079718640094
"AB Ability Coaching","2021-05","Rusta och Matcha",0,66,7,943,8361,0,0.00789379260853965
"AB Ability Coaching","2021-06","Rusta och Matcha",5,60,11,2969,9747,0.00168406871000337,0.00615574022776239
"AB Ability Coaching","2021-07","Rusta och Matcha",12,63,9,3811,12383,0.00314877984780897,0.00508762012436405
"AB Ability Coaching","2021-08","Rusta och Matcha",15,68,11,2428,13114,0.00617792421746293,0.00518529815464389
"AB Ability Coaching","2021-09","Rusta och Matcha",24,81,12,2639,14018,0.00909435392194013,0.00577828506206306
"AB Ability Coaching","2021-10","Rusta och Matcha",40,117,9,4365,16624,0.00916380297823597,0.00703801732435034
"AB Ability Coaching","2021-11","Rusta och Matcha",140,248,14,10345,25024,0.013533107781537,0.00991048593350384
"AB Ability Coaching","2021-12","Rusta och Matcha",190,424,24,13013,35668,0.0146007838315531,0.0118874060782774
"AB Ability Coaching","2022-01","Rusta och Matcha",198,612,29,10877,43054,0.0182035487726395,0.0142147071119989
"AB Ability Coaching","2022-02","Rusta och Matcha",277,856,36,16179,55202,0.0171209592681872,0.0155066845404152
"AB Ability Coaching","2022-03","Rusta och Matcha",246,1064,57,15411,65117,0.0159626240996691,0.01633981909486
"AB Ability Coaching","2022-04","Rusta och Matcha",236,1219,81,11321,68619,0.020846214998675,0.0177647590317551
"AB Ability Coaching","2022-05","Rusta och Matcha",206,1332,96,10669,70318,0.0193082763145562,0.0189425182741261
"AB Ability Coaching","2022-06","Rusta och Matcha",171,1358,122,7847,68443,0.0217917675544794,0.01984132782023
"AB Ability Coaching","2022-07","Rusta och Matcha",161,1416,114,7911,69212,0.0203514094299077,0.0204588799630122
"AB Ability Coaching","2022-08","Rusta och Matcha",112,1423,118,4820,65940,0.0232365145228216,0.0215802244464665
"AB Ability Coaching","2022-09","Rusta och Matcha",145,1438,128,8197,66124,0.0176893985604489,0.021747020748896
"AB Ability Coaching","2022-10","Rusta och Matcha",144,1345,194,11356,69163,0.0126805213103205,0.0194468140479736
"AB Ability Coaching","2022-11","Rusta och Matcha",172,1396,141,10934,70709,0.0157307481251143,0.0197428898725763
"AB Ability Coaching","2022-12","Rusta och Matcha",180,1408,174,10114,70789,0.0177971129127941,0.0198900959188574
"AB Ability Coaching","2023-01","Rusta och Matcha",117,1352,185,7787,67057,0.015025041736227,0.0201619517723728
"AB Ability Coaching","2023-02","Rusta och Matcha",218,1356,207,11172,67672,0.0195130683852488,0.0200378295306774
"AB Ability Coaching","2023-03","Rusta och Matcha",274,1434,184,12440,69280,0.0220257234726688,0.0206986143187067
"AB Ability Coaching","2023-04","Rusta och Matcha",177,1364,246,8486,63195,0.0208578835729437,0.0215839860748477
"AB Ability Coaching","2023-05","Rusta och Matcha",282,1345,301,12038,60152,0.0234258182422329,0.0223600212794255
"AB Ability Coaching","2023-06","Rusta och Matcha",211,1271,283,9226,55094,0.0228701495772816,0.0230696627581951
"AB Ability Coaching","2023-07","Rusta och Matcha",163,1227,215,7862,51663,0.0207326380055965,0.0237500725857964
"AB Ability Coaching","2023-08","Rusta och Matcha",149,1086,297,6562,44388,0.0227064919231941,0.0244660719113274
"AB Ability Coaching","2023-09","Rusta och Matcha",301,1044,344,11957,41936,0.0251735385130049,0.024895078214422
"AB Ability Coaching","2023-10","Rusta och Matcha",331,1184,203,14711,47275,0.0225001699408606,0.0250449497620307
"AB Ability Coaching","2023-11","Rusta och Matcha",292,1346,137,11758,52797,0.0248341554686171,0.0254938727579219
"AB Ability Coaching","2023-12","Rusta och Matcha",202,1435,108,9187,56760,0.0219875911614238,0.0252818886539817
"AB Ability Coaching","2024-01","Rusta och Matcha",207,1491,128,8900,59141,0.0232584269662921,0.0252109365753031
"AB Ability Coaching","2024-02","Rusta och Matcha",234,1612,99,10063,63776,0.0232535029315314,0.025275965880582
"AB Ability Coaching","2024-03","Rusta och Matcha",186,1666,148,8455,64400,0.0219988172678888,0.0258695652173913
"AB Ability Coaching","2024-04","Rusta och Matcha",148,1629,189,6871,62884,0.0215398049774414,0.0259048406589912
"AB Ability Coaching","2024-05","Rusta och Matcha",132,1513,249,6017,57867,0.0219378427787934,0.0261461627525187
"AB Ability Coaching","2024-06","Rusta och Matcha",134,1412,240,5742,53560,0.0233368164402647,0.0263629574309186
"AB Ability Coaching","2024-07","Rusta och Matcha",142,1406,143,5390,52364,0.0263450834879406,0.0268505079825835
"AB Ability Coaching","2024-08","Rusta och Matcha",63,1258,205,2960,46070,0.0212837837837838,0.0273062730627306
"AB Ability Coaching","2024-09","Rusta och Matcha",137,1157,241,6345,43259,0.021591804570528,0.0267458794701681
"AB Ability Coaching","2024-10","Rusta och Matcha",150,1080,226,7366,41513,0.0203638338311159,0.0260159468118421
"AB Ability Coaching","2024-11","Rusta och Matcha",114,978,215,5696,39416,0.0200140449438202,0.0248122589811244
"AB Ability Coaching","2024-12","Rusta och Matcha",138,969,153,5974,40168,0.0231001004352193,0.0241236805417248
"AB AlphaCE Holding","2021-06","Rusta och Matcha",0,0,0,2969,9747,0,0
"AB AlphaCE Holding","2021-07","Rusta och Matcha",0,8,0,3811,12383,0,0.000646046999919244
"AB AlphaCE Holding","2021-08","Rusta och Matcha",0,11,0,2428,13114,0,0.000838798230898277
"AB AlphaCE Holding","2021-09","Rusta och Matcha",8,19,0,2639,14018,0.00303145130731338,0.00135540019974319
"AB AlphaCE Holding","2021-10","Rusta och Matcha",10,28,0,4365,16624,0.00229095074455899,0.00168431183830606
"AB AlphaCE Holding","2021-11","Rusta och Matcha",20,47,0,10345,25024,0.00193330111164814,0.00187819693094629
"AB AlphaCE Holding","2021-12","Rusta och Matcha",22,63,0,13013,35668,0.00169061707523246,0.00176628911068745
"AB AlphaCE Holding","2022-01","Rusta och Matcha",45,97,7,10877,43054,0.00413717017559989,0.00225298462396061
"AB AlphaCE Holding","2022-02","Rusta och Matcha",67,149,6,16179,55202,0.00414117065331603,0.00269917756603022
"AB AlphaCE Holding","2022-03","Rusta och Matcha",73,199,17,15411,65117,0.00473687625721887,0.0030560375938695
"AB AlphaCE Holding","2022-04","Rusta och Matcha",62,244,16,11321,68619,0.00547654800812649,0.00355586645098296
"AB AlphaCE Holding","2022-05","Rusta och Matcha",38,260,19,10669,70318,0.00356172087355891,0.0036974885520066
"AB AlphaCE Holding","2022-06","Rusta och Matcha",21,249,33,7847,68443,0.00267618198037467,0.00363806379030726
"AB AlphaCE Holding","2022-07","Rusta och Matcha",19,246,19,7911,69212,0.00240171912526861,0.00355429694272669
"AB AlphaCE Holding","2022-08","Rusta och Matcha",13,232,29,4820,65940,0.00269709543568465,0.0035183500151653
"AB AlphaCE Holding","2022-09","Rusta och Matcha",27,233,30,8197,66124,0.00329388800780773,0.00352368277781138
"AB AlphaCE Holding","2022-10","Rusta och Matcha",31,239,28,11356,69163,0.00272983444874956,0.00345560487543918
"AB AlphaCE Holding","2022-11","Rusta och Matcha",42,254,22,10934,70709,0.00384122919334187,0.0035921876988785
"AB AlphaCE Holding","2022-12","Rusta och Matcha",27,256,25,10114,70789,0.00266956693691912,0.0036163810761559
"AB AlphaCE Holding","2023-01","Rusta och Matcha",22,239,38,7787,67057,0.00282522152305124,0.00356413200709844
"AB AlphaCE Holding","2023-02","Rusta och Matcha",43,245,36,11172,67672,0.00384890798424633,0.00362040430310911
"AB AlphaCE Holding","2023-03","Rusta och Matcha",39,239,41,12440,69280,0.00313504823151125,0.00344976905311778
"AB AlphaCE Holding","2023-04","Rusta och Matcha",29,205,63,8486,63195,0.00341739335375913,0.00324392752591186
"AB AlphaCE Holding","2023-05","Rusta och Matcha",25,176,54,12038,60152,0.00207675693636817,0.002925921000133
"AB AlphaCE Holding","2023-06","Rusta och Matcha",28,161,39,9226,55094,0.00303490136570561,0.00292227828801684
"AB AlphaCE Holding","2023-07","Rusta och Matcha",15,150,21,7862,51663,0.00190791147290766,0.00290343185645433
"AB AlphaCE Rusta och matcha","2023-08","Rusta och Matcha",5,112,44,6562,44388,0.000761962816214569,0.00252320446967649
"AB AlphaCE Rusta och matcha","2023-09","Rusta och Matcha",28,93,48,11957,41936,0.00234172451283767,0.00221766501335368
"AB AlphaCE Rusta och matcha","2023-10","Rusta och Matcha",59,127,27,14711,47275,0.00401060430970022,0.00268640930724484
"AB AlphaCE Rusta och matcha","2023-11","Rusta och Matcha",45,160,11,11758,52797,0.00382718149345127,0.00303047521639487
"AB AlphaCE Rusta och matcha","2023-12","Rusta och Matcha",52,201,20,9187,56760,0.00566017198214869,0.00354122621564482
"AB AlphaCE Rusta och matcha","2024-01","Rusta och Matcha",44,219,27,8900,59141,0.0049438202247191,0.00370301482896806
"AB AlphaCE Rusta och matcha","2024-02","Rusta och Matcha",43,242,17,10063,63776,0.00427307959852927,0.00379453085800301
"AB AlphaCE Rusta och matcha","2024-03","Rusta och Matcha",18,178,30,8455,64400,0.00212891780011827,0.0027639751552795
"AB AlphaCE Rusta och matcha","2024-04","Rusta och Matcha",0,87,30,6871,62884,0,0.00138349977736785
"AB AlphaCE Rusta och matcha","2024-05","Rusta och Matcha",0,28,24,6017,57867,0,0.000483868180482831
"AB AlphaCE Rusta och matcha","2024-06","Rusta och Matcha",0,5,12,5742,53560,0,9.33532486930545e-05
"AB AlphaCE Rusta och matcha","2024-07","Rusta och Matcha",0,0,0,5390,52364,0,0
"AB AlphaCE Rusta och matcha","2024-08","Rusta och Matcha",0,0,0,2960,46070,0,0
